comment_id,expert_id,rating
1,831,87.75510204081633
2,303,71.42857142857143
3,43,87.75510204081633
4,89,71.42857142857143
5,126,71.42857142857143
6,482,93.87755102040816
7,43,93.87755102040816
8,89,87.75510204081633
9,126,77.55102040816327
10,682,79.59183673469389
11,126,83.6734693877551
12,482,75.51020408163265
13,955,73.46938775510205
14,973,79.59183673469389
15,973,93.87755102040816
16,955,87.75510204081633
17,43,87.75510204081633
18,955,73.46938775510205
19,955,95.91836734693878
20,652,89.79591836734694
21,831,71.42857142857143
22,60,71.42857142857143
23,248,81.63265306122449
24,248,71.42857142857143
25,955,85.71428571428572
26,43,89.79591836734694
27,89,95.91836734693878
28,955,93.87755102040816
29,831,93.87755102040816
30,955,91.83673469387756
31,955,85.71428571428572
32,955,91.83673469387756
33,248,73.46938775510205
34,955,75.51020408163265
35,831,83.6734693877551
36,955,81.63265306122449
37,955,79.59183673469389
38,248,75.51020408163265
39,955,93.87755102040816
40,955,91.83673469387756
41,955,93.87755102040816
42,955,71.42857142857143
43,973,83.6734693877551
44,955,87.75510204081633
45,831,89.79591836734694
46,60,83.6734693877551
47,955,79.59183673469389
48,886,83.6734693877551
49,43,81.63265306122449
50,955,73.46938775510205
51,831,71.42857142857143
52,955,85.71428571428572
53,955,83.6734693877551
54,955,93.87755102040816
55,43,79.59183673469389
56,955,75.51020408163265
57,955,75.51020408163265
58,831,71.42857142857143
59,955,87.75510204081633
60,955,79.59183673469389
61,955,71.42857142857143
62,248,91.83673469387756
63,955,79.59183673469389
64,955,75.51020408163265
65,973,81.63265306122449
66,248,75.51020408163265
67,60,77.55102040816327
68,831,75.51020408163265
69,248,93.87755102040816
70,248,87.75510204081633
71,419,95.91836734693878
72,60,79.59183673469389
73,955,77.55102040816327
74,60,77.55102040816327
75,955,87.75510204081633
76,603,89.79591836734694
77,955,79.59183673469389
78,248,81.63265306122449
79,955,77.55102040816327
80,955,73.46938775510205
81,248,71.42857142857143
82,955,83.6734693877551
83,43,89.79591836734694
84,955,73.46938775510205
85,955,95.91836734693878
86,248,93.87755102040816
87,43,83.6734693877551
88,955,95.91836734693878
89,43,95.91836734693878
90,802,93.87755102040816
91,955,95.91836734693878
92,955,73.46938775510205
93,802,89.79591836734694
94,955,71.42857142857143
95,955,75.51020408163265
96,60,73.46938775510205
97,43,91.83673469387756
98,955,91.83673469387756
99,973,87.75510204081633
100,973,87.75510204081633
101,955,83.6734693877551
102,955,81.63265306122449
103,955,71.42857142857143
104,955,93.87755102040816
105,248,71.42857142857143
106,955,81.63265306122449
107,955,77.55102040816327
108,248,93.87755102040816
109,955,89.79591836734694
110,955,75.51020408163265
111,569,77.55102040816327
112,955,79.59183673469389
113,955,81.63265306122449
114,682,93.87755102040816
115,955,71.42857142857143
116,955,77.55102040816327
117,196,93.87755102040816
118,43,83.6734693877551
119,43,81.63265306122449
120,955,81.63265306122449
121,89,83.6734693877551
122,955,79.59183673469389
123,248,71.42857142857143
124,789,81.63265306122449
125,482,71.42857142857143
126,955,85.71428571428572
127,955,81.63265306122449
128,955,93.87755102040816
129,43,73.46938775510205
130,43,85.71428571428572
131,973,79.59183673469389
132,955,83.6734693877551
133,955,73.46938775510205
134,955,91.83673469387756
135,955,91.83673469387756
136,89,93.87755102040816
137,789,95.91836734693878
138,955,81.63265306122449
139,955,91.83673469387756
140,43,91.83673469387756
141,955,75.51020408163265
142,43,91.83673469387756
143,126,77.55102040816327
144,955,71.42857142857143
145,482,75.51020408163265
146,955,77.55102040816327
147,89,83.6734693877551
148,955,77.55102040816327
149,955,91.83673469387756
150,955,85.71428571428572
151,955,89.79591836734694
152,955,93.87755102040816
153,955,93.87755102040816
154,89,91.83673469387756
155,955,77.55102040816327
156,955,81.63265306122449
157,955,93.87755102040816
158,955,77.55102040816327
159,704,93.87755102040816
160,704,77.55102040816327
161,89,77.55102040816327
162,89,75.51020408163265
163,973,75.51020408163265
164,955,77.55102040816327
165,955,77.55102040816327
166,973,71.42857142857143
167,955,85.71428571428572
168,955,89.79591836734694
169,955,89.79591836734694
170,462,71.42857142857143
171,955,75.51020408163265
172,955,93.87755102040816
173,955,73.46938775510205
174,89,75.51020408163265
175,89,77.55102040816327
176,43,93.87755102040816
177,462,75.51020408163265
178,89,81.63265306122449
179,955,79.59183673469389
180,955,91.83673469387756
181,955,85.71428571428572
182,955,73.46938775510205
183,43,79.59183673469389
184,43,71.42857142857143
185,955,95.91836734693878
186,43,79.59183673469389
187,955,71.42857142857143
188,955,89.79591836734694
189,955,93.87755102040816
190,89,79.59183673469389
191,248,93.87755102040816
192,955,77.55102040816327
193,955,89.79591836734694
194,955,91.83673469387756
195,482,87.75510204081633
196,248,83.6734693877551
197,955,95.91836734693878
198,248,89.79591836734694
199,248,79.59183673469389
200,248,91.83673469387756
201,248,77.55102040816327
202,248,83.6734693877551
203,955,91.83673469387756
204,955,93.87755102040816
205,955,79.59183673469389
206,89,71.42857142857143
207,955,93.87755102040816
208,955,89.79591836734694
209,43,91.83673469387756
210,60,95.91836734693878
211,955,81.63265306122449
212,248,79.59183673469389
213,955,91.83673469387756
214,955,75.51020408163265
215,89,89.79591836734694
216,89,89.79591836734694
217,43,89.79591836734694
